Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,rule
172.16.0.1-192.168.10.50-60118-21-6,172.16.0.1,60118,192.168.10.50,21,6,4/7/2017 10:20,289,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,48442.90657,10380.62284,144.5,101.1162697,216.0,73.0,289.0,289.0,0.0,289.0,289.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,6920.415225,3460.207612,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60138-21-6,172.16.0.1,60138,192.168.10.50,21,6,4/7/2017 10:20,6543160,8,10,68,132.0,22,0,8.5,9.426406678,34,0,13.2,14.67272602,30.56627073,2.750964366,384891.7647,1069358.783,3270044.0,3.0,6543160.0,934737.1429,1594751.48,3314868.0,246.0,6540117.0,726679.6667,1416968.47,3270044.0,3.0,0,0,0,0,264,328,1.222650829,1.528313537,0,34,10.52631579,12.41579827,154.1520468,0,0,0,1,0,0,0,0,1,11.11111111,8.5,13.2,0,0,0,0,0,0,8,68,10,132,29200,227,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60140-21-6,172.16.0.1,60140,192.168.10.50,21,6,4/7/2017 10:20,6627499,8,10,75,132.0,24,0,9.375,10.64944667,34,0,13.2,14.67272602,31.23350151,2.715956653,389852.8824,1063619.443,3256575.0,3.0,6627499.0,946785.5714,1579611.89,3299772.0,3.0,6626764.0,736307.1111,1405578.01,3256575.0,3.0,0,0,0,0,264,328,1.207091846,1.508864807,0,34,10.89473684,12.74055091,162.3216374,0,0,0,1,0,0,0,0,1,11.5,9.375,13.2,0,0,0,0,0,0,8,75,10,132,29200,227,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60142-21-6,172.16.0.1,60142,192.168.10.50,21,6,4/7/2017 10:20,6511621,8,10,70,132.0,23,0,8.75,9.779716619,34,0,13.2,14.67272602,31.02146148,2.764288646,383036.5294,1064350.103,3248697.0,3.0,6511621.0,930231.5714,1587097.074,3291903.0,4.0,6510958.0,723439.7778,1410206.581,3248697.0,3.0,0,0,0,0,264,328,1.228572732,1.535715915,0,34,10.63157895,12.50426828,156.3567251,0,0,0,1,0,0,0,0,1,11.22222222,8.75,13.2,0,0,0,0,0,0,8,70,10,132,29200,227,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60106-21-6,172.16.0.1,60106,192.168.10.50,21,6,4/7/2017 10:20,40,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,350000.0,50000.0,40.0,0.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,50000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60112-21-6,172.16.0.1,60112,192.168.10.50,21,6,4/7/2017 10:20,335,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,41791.04478,8955.223881,167.5,122.3294731,254.0,81.0,335.0,335.0,0.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,5970.149254,2985.074627,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60116-21-6,172.16.0.1,60116,192.168.10.50,21,6,4/7/2017 10:20,18,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,777777.7778,111111.1111,18.0,0.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,111111.1111,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60114-21-6,172.16.0.1,60114,192.168.10.50,21,6,4/7/2017 10:20,349,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,40114.61318,8595.988539,174.5,139.3000359,273.0,76.0,349.0,349.0,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,5730.659026,2865.329513,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60108-21-6,172.16.0.1,60108,192.168.10.50,21,6,4/7/2017 10:20,208,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,67307.69231,14423.07692,104.0,26.87005769,123.0,85.0,208.0,208.0,0.0,208.0,208.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,9615.384615,4807.692308,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60110-21-6,172.16.0.1,60110,192.168.10.50,21,6,4/7/2017 10:20,4,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,500000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60104-21-6,172.16.0.1,60104,192.168.10.50,21,6,4/7/2017 10:20,4,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,500000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60098-21-6,172.16.0.1,60098,192.168.10.50,21,6,4/7/2017 10:20,3,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60100-21-6,172.16.0.1,60100,192.168.10.50,21,6,4/7/2017 10:20,313,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,44728.4345,9584.664537,156.5,142.128463,257.0,56.0,313.0,313.0,0.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,6389.776358,3194.888179,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60102-21-6,172.16.0.1,60102,192.168.10.50,21,6,4/7/2017 10:20,42,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,333333.3333,47619.04762,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,47619.04762,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60088-21-6,172.16.0.1,60088,192.168.10.50,21,6,4/7/2017 10:19,207,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,67632.85024,14492.75362,103.5,31.81980515,126.0,81.0,207.0,207.0,0.0,207.0,207.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,9661.835749,4830.917874,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60086-21-6,172.16.0.1,60086,192.168.10.50,21,6,4/7/2017 10:19,48,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,291666.6667,41666.66667,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,41666.66667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60096-21-6,172.16.0.1,60096,192.168.10.50,21,6,4/7/2017 10:19,245,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,57142.85714,12244.89796,122.5,12.02081528,131.0,114.0,245.0,245.0,0.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,8163.265306,4081.632653,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60094-21-6,172.16.0.1,60094,192.168.10.50,21,6,4/7/2017 10:19,274,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,51094.89051,10948.90511,137.0,144.2497834,239.0,35.0,274.0,274.0,0.0,274.0,274.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,7299.270073,3649.635036,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60092-21-6,172.16.0.1,60092,192.168.10.50,21,6,4/7/2017 10:19,48,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,291666.6667,41666.66667,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,41666.66667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60090-21-6,172.16.0.1,60090,192.168.10.50,21,6,4/7/2017 10:19,264,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,53030.30303,11363.63636,132.0,73.53910524,184.0,80.0,264.0,264.0,0.0,264.0,264.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,7575.757576,3787.878788,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60084-21-6,172.16.0.1,60084,192.168.10.50,21,6,4/7/2017 10:19,234,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,59829.05983,12820.51282,117.0,55.15432893,156.0,78.0,234.0,234.0,0.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,8547.008547,4273.504274,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60078-21-6,172.16.0.1,60078,192.168.10.50,21,6,4/7/2017 10:19,3,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60080-21-6,172.16.0.1,60080,192.168.10.50,21,6,4/7/2017 10:19,230,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,60869.56522,13043.47826,115.0,55.15432893,154.0,76.0,230.0,230.0,0.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,8695.652174,4347.826087,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60082-21-6,172.16.0.1,60082,192.168.10.50,21,6,4/7/2017 10:19,164,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,85365.85366,18292.68293,82.0,87.68124087,144.0,20.0,164.0,164.0,0.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,12195.12195,6097.560976,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60074-21-6,172.16.0.1,60074,192.168.10.50,21,6,4/7/2017 10:19,4,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,500000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60068-21-6,172.16.0.1,60068,192.168.10.50,21,6,4/7/2017 10:19,77,2,2,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,181818.1818,51948.05195,25.66666667,42.72391992,75.0,1.0,77.0,77.0,0.0,77.0,77.0,1.0,1.0,0.0,1.0,1.0,1,0,0,0,64,40,25974.02597,25974.02597,0,14,5.6,7.668115805,58.8,0,1,0,0,1,0,0,0,1,7.0,7.0,0.0,0,0,0,0,0,0,2,14,2,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60066-21-6,172.16.0.1,60066,192.168.10.50,21,6,4/7/2017 10:19,260,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,53846.15385,11538.46154,130.0,77.78174593,185.0,75.0,260.0,260.0,0.0,260.0,260.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,7692.307692,3846.153846,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60076-21-6,172.16.0.1,60076,192.168.10.50,21,6,4/7/2017 10:19,226,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,61946.90265,13274.33628,113.0,43.84062043,144.0,82.0,226.0,226.0,0.0,226.0,226.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,8849.557522,4424.778761,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
